,Credit_Card_Exceed_Months,Employment_Type,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Score,Joined_Income_Binned,Income_Binned,Loan_Amount_Binned,Total_Loan_Sum_Binned,Loan_Amount,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision
0,0,1,6,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,265419.0,12262.0,853141.0,16025.0,1
1,0,1,9,0,1,0,10,0,0,0,1,1,0,0,1,3,0,2,0,1,605505.0,9251.0,882901.0,17082.0,0
2,0,1,5,1,1,0,0,0,0,1,2,1,0,0,2,2,2,1,2,2,223871.0,4919.0,540489.0,12613.0,1
3,0,1,10,0,1,0,0,2,0,0,0,1,0,0,0,3,1,1,1,2,490216.0,4459.0,536727.0,10952.0,0
4,0,1,4,1,1,0,0,0,0,0,1,1,0,0,2,2,2,1,2,1,292728.0,5628.0,774695.0,12694.0,1
5,0,1,10,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,2,0,198118.0,11323.0,1350187.0,16349.0,1
6,0,1,9,1,0,0,0,1,0,0,0,1,0,0,1,1,1,2,2,2,226681.0,7797.0,615986.0,11172.0,0
7,0,1,11,0,1,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,667042.0,10375.0,1088286.0,7543.0,1
8,0,1,14,1,1,0,0,0,0,1,1,1,0,0,0,2,2,0,2,2,114428.0,11983.0,556822.0,12947.0,0
9,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,1,153433.0,7831.0,1155848.0,18385.0,1
10,0,1,12,1,1,0,0,0,0,0,1,1,0,0,0,2,2,1,2,2,238090.0,5109.0,629295.0,13709.0,1
11,0,1,0,0,2,0,4,0,0,1,2,1,0,0,0,1,2,2,2,1,269875.0,7916.0,1010426.0,12328.0,0
12,0,1,13,1,1,0,0,0,0,0,2,1,0,0,0,1,1,2,2,1,236478.0,6493.0,848730.0,11533.0,0
13,0,1,14,0,1,0,0,0,0,0,2,1,0,0,2,2,2,1,2,2,210192.0,5459.0,524595.0,15290.0,0
14,0,1,10,1,1,0,0,2,0,0,2,1,0,0,1,0,2,2,2,0,244563.0,6827.0,1251358.0,13557.0,1
15,0,1,3,0,1,0,0,0,0,0,2,1,0,0,2,2,2,0,1,0,577456.0,11886.0,1183881.0,12738.0,0
16,0,1,2,1,0,0,3,0,0,0,2,1,0,0,1,1,1,2,2,1,287063.0,7593.0,786953.0,10878.0,1
17,0,1,4,0,1,0,0,0,0,0,0,1,0,0,2,2,2,0,2,2,100443.0,9947.0,561999.0,12695.0,1
18,0,1,8,1,2,0,0,0,0,0,1,1,2,0,0,0,2,2,0,2,748282.0,6209.0,672383.0,13829.0,0
19,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,3,1,0,2,0,175553.0,9972.0,1394542.0,8265.0,1
20,0,1,6,1,0,0,0,0,0,0,2,1,0,0,1,2,0,2,2,1,196987.0,7556.0,954301.0,16258.0,1
21,0,1,13,0,1,0,0,0,0,0,2,1,0,0,2,0,0,2,1,1,473425.0,9193.0,927502.0,17751.0,0
22,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,210738.0,5140.0,946444.0,17051.0,1
23,0,1,5,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,2,0,176932.0,11852.0,1308511.0,10653.0,0
24,0,1,9,1,1,0,0,0,0,0,2,1,2,0,2,3,2,2,1,1,508544.0,9605.0,803230.0,13714.0,0
25,0,1,1,0,1,0,0,0,0,0,2,1,0,0,1,2,0,2,1,0,386823.0,7185.0,1330083.0,16065.0,0
26,0,1,5,1,1,0,0,0,0,0,1,1,0,0,1,1,2,2,2,2,247640.0,6547.0,666752.0,13449.0,0
