,Loan_Amount,Monthly_Salary,Total_Income_for_Join_Application,Total_Sum_of_Loan,Years_to_Financial_Freedom,Loan_Tenure_Year,Credit_Card_Exceed_Months,State,Credit_Card_types,Years_for_Property_to_Completion,Number_of_Bank_Products,Decision
0,0.24,0.97,0.68,0.42,0,6,0,0,2,0,0,1
1,0.72,0.63,0.77,0.45,10,9,0,0,1,0,0,0
2,0.18,0.15,0.41,0.12,0,5,0,0,1,0,1,1
3,0.56,0.1,0.27,0.11,0,10,0,0,1,0,0,0
4,0.28,0.23,0.41,0.34,0,4,0,0,1,0,0,1
5,0.14,0.86,0.71,0.9,0,10,0,0,1,2,0,1
6,0.18,0.47,0.29,0.19,0,9,0,0,0,0,0,0
7,0.81,0.76,0.0,0.65,0,11,0,0,1,0,0,1
8,0.02,0.94,0.43,0.13,0,14,0,0,1,0,1,0
9,0.08,0.47,0.87,0.71,0,2,0,0,0,0,0,1
10,0.2,0.17,0.5,0.2,0,12,0,0,1,0,0,1
11,0.24,0.48,0.39,0.57,4,0,0,0,2,0,1,0
12,0.19,0.32,0.32,0.42,0,13,0,0,1,0,0,0
13,0.16,0.21,0.62,0.1,0,14,0,0,1,0,0,0
14,0.21,0.36,0.48,0.81,0,10,0,0,1,0,0,1
15,0.68,0.92,0.42,0.74,0,3,0,0,1,0,0,0
16,0.27,0.45,0.27,0.36,3,2,0,0,0,0,0,1
17,0.0,0.71,0.41,0.14,0,4,0,0,1,0,0,1
18,0.93,0.29,0.51,0.24,0,8,0,0,2,2,0,0
19,0.11,0.71,0.06,0.95,0,2,0,0,1,1,0,1
20,0.14,0.44,0.7,0.52,0,6,0,0,0,0,0,1
21,0.53,0.62,0.82,0.49,0,13,0,0,1,0,0,0
22,0.16,0.17,0.76,0.51,0,0,0,0,1,0,0,1
23,0.11,0.92,0.25,0.86,0,5,0,0,1,0,1,0
24,0.58,0.67,0.5,0.37,0,9,0,0,1,2,0,0
25,0.41,0.4,0.68,0.88,0,1,0,0,1,0,0,0
26,0.21,0.33,0.48,0.24,0,5,0,0,1,0,0,0
27,0.22,0.55,0.52,0.4,0,11,0,0,2,0,0,0
