,Credit_Card_Exceed_Months,Employment_Type,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Score,Joined_Income_Binned,Income_Binned,Loan_Amount_Binned,Total_Loan_Sum_Binned,Loan_Amount,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision
0,1.0,employer,16.0,yes,platinum,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,High_Joined,High_Income,Small_Loan,Medium_Loan_Sum,265419.0,12262.0,853141.0,16025.0,reject
1,1.0,employer,19.0,no,normal,2.0,15.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,9.0,High_Joined,Medium_Income,High_Loan,Medium_Loan_Sum,605505.0,9251.0,882901.0,17082.0,accept
2,1.0,employer,15.0,yes,normal,2.0,5.0,2.0,2.0,2.0,3.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,Low_Income,Small_Loan,Small_Loan_Sum,223871.0,4919.0,540489.0,12613.0,reject
3,1.0,employer,20.0,no,normal,2.0,5.0,4.0,2.0,1.0,1.0,condominium,10.0,Johor,1.0,9.0,Low_Joined,Low_Income,Medium_Loan,Small_Loan_Sum,490216.0,4459.0,536727.0,10952.0,accept
4,1.0,employer,14.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,Low_Income,Small_Loan,Medium_Loan_Sum,292728.0,5628.0,774695.0,12694.0,reject
5,1.0,employer,20.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,12.0,Johor,2.0,7.0,High_Joined,High_Income,Small_Loan,High_Loan_Sum,198118.0,11323.0,1350187.0,16349.0,reject
6,1.0,employer,19.0,yes,gold,2.0,5.0,3.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,Low_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,226681.0,7797.0,615986.0,11172.0,accept
7,1.0,employer,21.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,8.0,Low_Joined,High_Income,High_Loan,Medium_Loan_Sum,667042.0,10375.0,1088286.0,7543.0,reject
8,1.0,employer,24.0,yes,normal,2.0,5.0,2.0,2.0,2.0,2.0,condominium,10.0,Johor,1.0,8.0,Medium_Joined,High_Income,Small_Loan,Small_Loan_Sum,114428.0,11983.0,556822.0,12947.0,accept
9,1.0,employer,12.0,no,gold,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,153433.0,7831.0,1155848.0,18385.0,reject
10,1.0,employer,22.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,8.0,Medium_Joined,Low_Income,Small_Loan,Small_Loan_Sum,238090.0,5109.0,629295.0,13709.0,reject
11,1.0,employer,10.0,no,platinum,2.0,9.0,2.0,2.0,2.0,3.0,condominium,10.0,Johor,1.0,7.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,269875.0,7916.0,1010426.0,12328.0,accept
12,1.0,employer,23.0,yes,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,7.0,Low_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,236478.0,6493.0,848730.0,11533.0,accept
13,1.0,employer,24.0,no,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,Low_Income,Small_Loan,Small_Loan_Sum,210192.0,5459.0,524595.0,15290.0,accept
14,1.0,employer,20.0,yes,normal,2.0,5.0,4.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,Small_Loan,High_Loan_Sum,244563.0,6827.0,1251358.0,13557.0,reject
15,1.0,employer,13.0,no,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,High_Income,Medium_Loan,High_Loan_Sum,577456.0,11886.0,1183881.0,12738.0,accept
16,1.0,employer,12.0,yes,gold,2.0,8.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,7.0,Low_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,287063.0,7593.0,786953.0,10878.0,reject
17,1.0,employer,14.0,no,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,High_Income,Small_Loan,Small_Loan_Sum,100443.0,9947.0,561999.0,12695.0,reject
18,1.0,employer,18.0,yes,platinum,2.0,5.0,2.0,2.0,1.0,2.0,condominium,12.0,Johor,1.0,6.0,Medium_Joined,Medium_Income,High_Loan,Small_Loan_Sum,748282.0,6209.0,672383.0,13829.0,accept
19,1.0,employer,12.0,no,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,11.0,Johor,2.0,9.0,Low_Joined,High_Income,Small_Loan,High_Loan_Sum,175553.0,9972.0,1394542.0,8265.0,reject
20,1.0,employer,16.0,yes,gold,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,8.0,High_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,196987.0,7556.0,954301.0,16258.0,reject
21,1.0,employer,23.0,no,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,6.0,High_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,473425.0,9193.0,927502.0,17751.0,accept
